,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,REE,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VNM,VPB,VRE,Gold
2018-04-18,9.44,23.1,21.93,84.62,15.37,16.22,73.73,9.25,9.9,11.18,7.43,81.01,23.74,52.64,11.92,18.3,84.11,4.2,9.97,12.72,15.5,16.12,7.19,27.4,64.42,5.25,47.72,89.8,12.85,38.04,30722908.889770508
2018-04-19,9.21,23.02,20.73,78.81,14.47,15.88,73.73,9.25,9.4,10.8,7.04,75.34,22.59,48.98,11.53,17.92,78.28,4.13,9.97,12.45,15.0,16.12,7.19,25.8,64.42,5.03,44.42,89.8,12.25,37.09,30624886.310302734
2018-04-20,9.28,23.1,21.52,82.13,15.34,16.04,76.41,9.16,9.57,11.14,7.25,77.94,23.53,50.88,11.53,18.11,81.9,4.2,9.97,12.88,15.45,16.12,7.2,27.06,64.42,5.12,45.19,89.08,12.33,38.04,30401903.689453125
2018-04-23,8.59,22.48,20.02,79.64,14.29,15.18,71.11,9.16,8.9,10.54,6.75,76.96,24.66,47.37,11.21,17.39,80.24,3.87,9.97,11.99,14.4,16.12,6.82,25.2,64.42,4.76,45.26,87.36,11.48,36.06,29661030.0
2018-04-24,8.57,22.48,20.73,82.96,13.9,14.76,73.44,8.9,8.6,10.61,6.74,77.61,24.59,45.46,10.9,17.34,80.05,3.87,9.97,11.46,14.15,16.12,6.82,25.37,64.42,4.7,46.66,86.21,11.48,38.04,30270710.955078125
2018-04-25,8.57,22.48,20.73,82.96,13.9,14.76,73.44,8.9,8.6,10.61,6.74,77.61,24.59,45.46,10.9,17.34,80.05,3.87,9.97,11.46,14.15,16.12,6.82,25.37,64.42,4.7,46.66,86.21,11.48,38.04,30036159.689941406
2018-04-26,7.84,22.39,19.91,77.16,12.94,14.39,68.31,8.65,8.06,10.14,6.29,72.26,23.45,42.31,10.74,16.64,80.79,3.54,9.97,10.67,13.35,16.12,6.58,24.61,64.42,4.23,46.66,86.69,10.7,36.06,29924765.310058594
2018-04-27,8.18,22.48,19.69,76.33,13.42,14.92,63.58,8.73,8.18,10.2,6.6,74.37,23.73,45.24,10.74,17.29,78.58,3.74,9.97,11.04,13.85,16.12,6.69,25.37,64.42,4.62,46.29,88.6,10.78,36.69,30013060.709960938
2018-04-30,8.18,22.48,19.69,76.33,13.42,14.92,63.58,8.73,8.18,10.2,6.6,74.37,23.73,45.24,10.74,17.29,78.58,3.74,9.97,11.04,13.85,16.12,6.69,25.37,64.42,4.62,46.29,88.6,10.78,36.69,29915250.59020996
2018-05-01,8.18,22.48,19.69,76.33,13.42,14.92,63.58,8.73,8.18,10.2,6.6,74.37,23.73,45.24,10.74,17.29,78.58,3.74,9.97,11.04,13.85,16.12,6.69,25.37,64.42,4.62,46.29,88.6,10.78,36.69,29633419.40979004
2018-05-02,8.11,23.02,18.33,72.18,12.48,14.92,59.13,8.65,8.02,10.31,6.47,75.67,23.61,48.39,10.66,17.24,78.61,3.58,9.97,10.67,13.3,16.12,6.6,24.61,64.42,4.5,45.92,88.36,10.33,36.69,29300683.850830078
2018-05-03,8.4,22.92,18.38,74.5,13.28,15.18,55.03,9.08,8.31,10.29,6.68,74.53,23.64,48.54,10.5,17.29,80.16,3.61,9.97,10.73,13.7,16.12,6.6,25.2,64.42,4.74,45.19,88.6,10.41,36.69,29786967.09033203
2018-05-04,8.42,23.1,17.73,72.26,13.05,15.39,55.88,8.9,8.22,10.23,6.77,74.13,23.61,47.95,10.58,17.15,80.79,3.58,9.97,10.5,13.45,16.12,6.6,24.95,64.42,4.64,45.74,88.12,10.55,37.05,29834388.14025879
2018-05-07,8.88,20.68,18.96,76.33,13.95,15.6,59.02,8.73,8.31,10.61,7.11,78.18,25.13,48.76,11.37,17.56,86.43,3.71,9.97,11.16,13.95,16.12,6.65,26.26,64.42,4.68,45.77,91.0,11.26,37.09,29414274.10546875
2018-05-08,8.76,22.39,19.37,80.06,13.92,15.44,58.73,8.65,8.25,10.8,6.95,78.58,24.57,50.0,11.37,17.53,86.66,3.61,9.97,10.98,13.65,16.12,6.67,25.8,64.42,4.71,45.52,88.65,10.98,36.3,29826352.0
2018-05-09,8.57,19.96,19.09,77.98,13.74,15.28,61.3,8.73,8.2,10.8,6.88,76.96,24.64,49.64,11.21,17.39,86.32,3.58,9.97,10.98,13.5,16.12,6.65,25.16,64.42,4.63,45.15,88.6,10.7,35.74,29815684.860229492
2018-05-10,8.18,20.68,17.84,79.15,12.82,15.26,59.87,8.65,7.64,10.46,6.52,76.15,23.26,46.93,10.82,17.1,86.32,3.48,9.97,10.52,12.9,16.12,6.54,23.89,64.42,4.5,44.27,86.21,10.07,35.74,30037634.71044922
2018-05-11,8.49,21.49,18.55,77.98,13.46,15.57,63.35,8.56,7.91,10.56,6.74,76.07,23.96,46.93,11.05,17.22,87.06,3.48,9.97,10.61,13.1,16.12,6.6,24.49,64.42,4.53,45.55,85.25,10.41,36.22,29622102.0
2018-05-14,8.55,21.49,18.71,79.56,13.51,16.12,67.29,8.56,7.74,10.58,6.84,79.39,24.43,48.39,11.13,17.48,90.75,3.51,9.97,10.73,13.1,16.12,6.54,24.65,64.42,4.37,48.49,85.25,10.05,38.72,29486967.0
2018-05-15,8.59,21.13,18.87,84.62,13.67,16.07,67.63,8.65,7.81,10.5,6.84,77.94,24.85,51.76,11.37,17.73,92.23,3.48,9.97,10.88,13.1,16.12,6.6,24.82,64.42,4.43,48.49,84.29,10.11,37.96,29299919.804992676
2018-05-16,8.3,21.4,18.11,81.55,13.33,15.83,68.26,8.47,7.67,10.23,6.69,75.26,24.43,50.59,11.45,17.44,92.96,3.41,9.97,10.58,13.05,16.12,6.54,24.1,64.42,4.37,47.76,80.99,9.73,36.46,29333340.989868164
2018-05-17,8.28,22.48,18.0,77.9,13.37,15.86,66.15,8.47,7.74,10.04,6.6,70.48,24.01,49.86,11.45,17.44,89.09,3.35,9.97,10.3,12.75,16.12,6.54,24.02,64.42,4.33,45.19,79.02,9.22,36.46,29290446.389770508
2018-05-18,8.26,19.96,17.97,80.47,13.49,15.91,65.58,8.65,7.75,10.22,6.69,74.94,24.66,50.59,11.68,17.44,93.11,3.28,9.97,10.12,12.75,16.12,6.58,23.89,64.42,4.16,45.19,81.95,9.38,37.01,29339146.889648438
2018-05-21,8.15,19.78,17.18,74.92,13.19,15.96,61.87,8.56,7.85,10.08,6.53,72.1,25.66,48.39,11.53,17.24,92.6,3.15,9.97,9.81,12.6,16.12,6.55,23.55,64.42,4.17,42.03,79.5,9.47,35.35,28936604.504882812
